From,To,organ,timepoint
Hyal1,15586,HE,h24
Fgf2,14173,HE,h24
Fgf1,14164,HE,h24
Igll1,16136,HE,h24
Enho,69638,HE,h24
Gpx6,75512,HE,h24
Gpx3,14778,HE,h24
Vwa1,246228,HE,h24
Sftpa1,20387,HE,h24
Fgfbp1,14181,HE,h24
Vegfd,14205,HE,h24
Ifna2,15965,HE,h24
Vegfb,22340,HE,h24
Vegfc,22341,HE,h24
Vegfa,22339,HE,h24
Bche,12038,HE,h24
Krtdap,64661,HE,h24
Npc2,67963,HE,h24
Lcn2,16819,HE,h24
Furin,18550,HE,h24
C1qtnf12,67389,HE,h24
C9orf72,73205,HE,h24
Cnmd,16840,HE,h24
Gatd1,213350,HE,h24
Gm44805,105886299,HE,h24
Naxe,246703,HE,h24
Selenop,20363,HE,h24
